Variable,Label,Code,Category,Frequency,Percent,Missing
wrkstat,"LABOR FORCE STATUS",0.0,"IAP",0.0,0.0,*
wrkstat,"LABOR FORCE STATUS",1.0,"WORKING FULLTIME",29437.0,0.49,
wrkstat,"LABOR FORCE STATUS",2.0,"WORKING PARTTIME",6115.0,0.1,
wrkstat,"LABOR FORCE STATUS",3.0,"TEMP NOT WORKING",1253.0,0.02,
wrkstat,"LABOR FORCE STATUS",4.0,"UNEMPL, LAID OFF",1977.0,0.03,
wrkstat,"LABOR FORCE STATUS",5.0,"RETIRED",8102.0,0.14,
wrkstat,"LABOR FORCE STATUS",6.0,"SCHOOL",1841.0,0.03,
wrkstat,"LABOR FORCE STATUS",7.0,"KEEPING HOUSE",9650.0,0.16,
wrkstat,"LABOR FORCE STATUS",8.0,"OTHER",1208.0,0.02,
wrkstat,"LABOR FORCE STATUS",9.0,"NA",16.0,0.0,*
hrs1,"NUMBER OF HOURS WORKED LAST WEEK",-1.0,"IAP",24903.0,0.42,*
hrs1,"NUMBER OF HOURS WORKED LAST WEEK",98.0,"DK",43.0,0.0,*
hrs1,"NUMBER OF HOURS WORKED LAST WEEK",99.0,"NA",174.0,0.0,*
hrs2,"NUMBER OF HOURS USUALLY WORK A WEEK",-1.0,"IAP",58382.0,0.98,*
hrs2,"NUMBER OF HOURS USUALLY WORK A WEEK",98.0,"DK",3.0,0.0,*
hrs2,"NUMBER OF HOURS USUALLY WORK A WEEK",99.0,"NA",84.0,0.0,*
evwork,"EVER WORK AS LONG AS ONE YEAR",0.0,"IAP",38767.0,0.65,*
evwork,"EVER WORK AS LONG AS ONE YEAR",1.0,"YES",17471.0,0.29,
evwork,"EVER WORK AS LONG AS ONE YEAR",2.0,"NO",3298.0,0.06,
evwork,"EVER WORK AS LONG AS ONE YEAR",8.0,"DK",2.0,0.0,*
evwork,"EVER WORK AS LONG AS ONE YEAR",9.0,"NA",61.0,0.0,*
occ,"RS CENSUS OCCUPATION CODE (1970)",0.0,"DK,NA,IAP",35332.0,0.59,*
prestige,"RS OCCUPATIONAL PRESTIGE SCORE  (1970)",0.0,"DK,NA,IAP",35332.0,0.59,*
wrkslf,"R SELF-EMP OR WORKS FOR SOMEBODY",0.0,"IAP",3304.0,0.06,*
wrkslf,"R SELF-EMP OR WORKS FOR SOMEBODY",1.0,"SELF-EMPLOYED",6492.0,0.11,
wrkslf,"R SELF-EMP OR WORKS FOR SOMEBODY",2.0,"SOMEONE ELSE",49497.0,0.83,
wrkslf,"R SELF-EMP OR WORKS FOR SOMEBODY",8.0,"DK",13.0,0.0,*
wrkslf,"R SELF-EMP OR WORKS FOR SOMEBODY",9.0,"NA",293.0,0.0,*
wrkgovt,"GOVT OR PRIVATE EMPLOYEE",0.0,"IAP",36136.0,0.61,*
wrkgovt,"GOVT OR PRIVATE EMPLOYEE",1.0,"GOVERNMENT",4235.0,0.07,
wrkgovt,"GOVT OR PRIVATE EMPLOYEE",2.0,"PRIVATE",18923.0,0.32,
wrkgovt,"GOVT OR PRIVATE EMPLOYEE",8.0,"DK",185.0,0.0,*
wrkgovt,"GOVT OR PRIVATE EMPLOYEE",9.0,"NA",120.0,0.0,*
commute,"TRAVEL TIME TO WORK",-1.0,"IAP",58229.0,0.98,*
commute,"TRAVEL TIME TO WORK",97.0,"97+ MINUTES",8.0,0.0,
commute,"TRAVEL TIME TO WORK",98.0,"DK",8.0,0.0,*
commute,"TRAVEL TIME TO WORK",99.0,"NA",32.0,0.0,*
industry,"RS INDUSTRY CODE   (1970)",0.0,"DK,NA,IAP",35392.0,0.59,*
occ80,"RS CENSUS OCCUPATION CODE (1980)",0.0,"IAP",27840.0,0.47,*
occ80,"RS CENSUS OCCUPATION CODE (1980)",3.0,"Legislators",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",4.0,"Chief Executives and General Admin., Public Admin",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",5.0,"Administrators and Officials, Public Administration",151.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",6.0,"Administrators, Protective Service",13.0,0.0,
