Variable,Label,Mean,Min,Max,StdDev,Valid,Invalid,Variance
year,"GSS YEAR FOR THIS RESPONDENT",1993.018,1972.0,2014.0,12.296,59599.0,0.0,151.2
id,"RESPONDNT ID NUMBER",1137.342,1.0,4510.0,830.974,59599.0,0.0,690517.504
wrkstat,"LABOR FORCE STATUS",3.056,1.0,8.0,2.455,59583.0,16.0,6.029
hrs1,"NUMBER OF HOURS WORKED LAST WEEK",41.323,0.0,89.0,14.148,34479.0,25120.0,200.171
hrs2,"NUMBER OF HOURS USUALLY WORK A WEEK",39.199,0.0,89.0,13.608,1130.0,58469.0,185.18
evwork,"EVER WORK AS LONG AS ONE YEAR",1.159,1.0,2.0,0.365,20769.0,38830.0,0.134
occ,"RS CENSUS OCCUPATION CODE (1970)",468.068,1.0,984.0,279.189,24267.0,35332.0,77946.251
prestige,"RS OCCUPATIONAL PRESTIGE SCORE  (1970)",39.356,12.0,82.0,14.037,24267.0,35332.0,197.041
wrkslf,"R SELF-EMP OR WORKS FOR SOMEBODY",1.884,1.0,2.0,0.32,55989.0,3610.0,0.103
wrkgovt,"GOVT OR PRIVATE EMPLOYEE",1.817,1.0,2.0,0.387,23158.0,36441.0,0.149
commute,"TRAVEL TIME TO WORK",20.246,0.0,97.0,17.082,1330.0,58269.0,291.811
industry,"RS INDUSTRY CODE   (1970)",560.565,17.0,937.0,290.057,24207.0,35392.0,84133.353
occ80,"RS CENSUS OCCUPATION CODE (1980)",360.307,3.0,889.0,245.991,31434.0,28165.0,60511.673
prestg80,"RS OCCUPATIONAL PRESTIGE SCORE  (1980)",43.664,17.0,86.0,13.762,31434.0,28165.0,189.404
indus80,"RS INDUSTRY CODE   (1980)",592.171,10.0,932.0,275.25,31216.0,28383.0,75762.46
indus07,"Industry code based on NAICS 2007",555467.982,111211.0,928120.0,182277.854,1814.0,57785.0,33225216024.221
occonet,"Occupation code based on O*Net",417465.981,111011.0,999999.99,225708.299,2044.0,57555.0,50944236329.256
OCC10,"RS CENSUS OCCUPATION CODE (2010)",4342.502,10.0,9830.0,2619.268,4298.0,55301.0,6860564.819
prestg10,"Rs occupational prestige score (2010)",43.953,16.0,80.0,13.689,4298.0,55301.0,187.379
prestg105plus,"Rs occupational prestige score using threshold method (2010)",48.009,5.0,97.0,26.122,4298.0,55301.0,682.34
INDUS10,"RS INDUSTRY CODE (NAICS 2007)",6422.28,170.0,9870.0,2663.732,4291.0,55308.0,7095468.352
marital,"MARITAL STATUS",2.282,1.0,5.0,1.609,59575.0,24.0,2.588
martype,"MARITAL TYPE",1.004,1.0,2.0,0.066,2058.0,57541.0,0.004
agewed,"AGE WHEN FIRST MARRIED",22.15,12.0,90.0,4.885,26543.0,33056.0,23.864
divorce,"EVER BEEN DIVORCED OR SEPARATED",1.797,1.0,2.0,0.403,37440.0,22159.0,0.162
widowed,"EVER BEEN WIDOWED",1.968,1.0,2.0,0.175,26050.0,33549.0,0.031
spwrksta,"SPOUSE LABOR FORCE STATUS",2.905,1.0,8.0,2.48,31854.0,27745.0,6.153
sphrs1,"NUMBER OF HRS SPOUSE WORKED LAST WEEK",41.861,0.0,89.0,13.283,19413.0,40186.0,176.432
sphrs2,"NO. OF HRS SPOUSE USUALLY WORKS A WEEK",41.354,1.0,89.0,12.499,562.0,59037.0,156.215
spevwork,"SPOUSE EVER WORK AS LONG AS A YEAR",1.185,1.0,2.0,0.389,10302.0,49297.0,0.151
spocc,"SPOUSE CENSUS OCCUPATION CODE (1970)",449.425,1.0,984.0,266.893,14564.0,45035.0,71232.062
sppres,"SPOUSES OCCUPATIONAL PRESTIGE SCORE (1970)",40.412,12.0,82.0,13.639,14564.0,45035.0,186.02
spwrkslf,"SPOUSE SELF-EMP. OR WORKS FOR SOMEBODY",1.868,1.0,2.0,0.338,29757.0,29842.0,0.114
spind,"SPOUSES INDUSTRY CODE (1970)",535.641,17.0,937.0,295.89,14505.0,45094.0,87550.978
spocc80,"SPOUSE CENSUS OCCUPATION CODE (1980)",354.603,3.0,901.0,255.442,15328.0,44271.0,65250.698
sppres80,"SPOUSES OCCUPATIONAL PRESTIGE SCORE (1980)",45.068,17.0,86.0,13.643,15324.0,44275.0,186.126
spind80,"SPOUSES INDUSTRY CODE (1980)",574.435,10.0,951.0,284.134,15201.0,44398.0,80732.052
SPOCC10,"SPOUSE CENSUS OCCUPATION CODE (2010)",4259.286,10.0,9830.0,2827.062,1908.0,57691.0,7992280.211
sppres10,"Spouse occupational prestige score (2010)",46.359,17.0,80.0,13.722,1908.0,57691.0,188.288
sppres105plus,"Spouse occupational prestige score using threshold method (2010)",52.548,6.0,97.0,25.703,1908.0,57691.0,660.661
SPIND10,"SPOUSES INDUSTRY CODE (NAICS 2007)",6090.585,170.0,9870.0,2861.486,1912.0,57687.0,8188099.701
paocc16,"FATHERS CENSUS OCCUPATION CODE (1970)",531.693,1.0,984.0,254.199,22300.0,37299.0,64617.081
papres16,"FATHERS OCCUPATIONAL PRESTIGE SCORE (1970)",39.533,9.0,82.0,12.601,22300.0,37299.0,158.794
pawrkslf,"FATHER SELF-EMP. OR WORKED FOR SOMEBODY",1.705,1.0,2.0,0.456,48176.0,11423.0,0.208
paind16,"FATHERS INDUSTRY CODE (1970)",340.408,17.0,937.0,312.197,22277.0,37322.0,97466.746
paocc80,"FATHERS CENSUS OCCUPATION CODE (1980)",447.232,3.0,889.0,269.058,25492.0,34107.0,72392.34
papres80,"FATHERS OCCUPATIONAL PRESTIGE SCORE (1980)",43.264,17.0,86.0,12.567,25492.0,34107.0,157.921
paind80,"FATHERS INDUSTRY CODE (1980)",394.453,10.0,932.0,311.45,25413.0,34186.0,97001.382
PAOCC10,"FATHERS CENSUS OCCUPATION CODE (2010)",4974.169,10.0,9830.0,3184.905,3603.0,55996.0,10143621.089
papres10,"Father's occupational prestige score (2010)",44.669,16.0,80.0,13.268,3603.0,55996.0,176.031
papres105plus,"Father's occupational prestige score using threshold method (2010)",49.687,6.0,97.0,24.276,3603.0,55996.0,589.302
